,Basophils,Bcells,CD4,CD8,Colony,Common myeloid progenitor,Eosinophill,Erythroid,Granulocyte,Hematopoietic stem cell,Mature NK,Megakaryocyte,Monocyte,Myeloid Dendritic Cell,Plasmacytoid Dendritic Cell
GSM609718,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GSM609719,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GSM609720,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GSM609721,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GSM609722,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GSM609723,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GSM609724,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GSM609725,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GSM609726,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GSM609727,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GSM609728,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GSM609729,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GSM609730,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GSM609731,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GSM609732,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GSM609733,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GSM609734,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GSM609735,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GSM609736,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GSM609737,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GSM609738,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GSM609739,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GSM609740,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GSM609741,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GSM609742,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GSM609743,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GSM609744,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GSM609745,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GSM609746,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GSM609747,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GSM609748,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GSM609749,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GSM609750,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GSM609751,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GSM609752,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GSM609753,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GSM609754,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GSM609755,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GSM609756,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GSM609757,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GSM609758,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GSM609759,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GSM609760,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GSM609761,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GSM609762,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GSM609763,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GSM609764,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GSM609765,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GSM609766,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GSM609767,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GSM609768,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GSM609769,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GSM609770,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GSM609771,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GSM609772,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GSM609773,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GSM609774,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GSM609775,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GSM609776,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GSM609777,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GSM609778,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GSM609779,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GSM609780,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GSM609781,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GSM609782,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GSM609783,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GSM609784,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GSM609785,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GSM609786,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GSM609787,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GSM609788,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GSM609789,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609790,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609791,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609793,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609794,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609795,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609796,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609797,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609798,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609799,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609800,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609801,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609802,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609803,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609804,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609805,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609806,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609807,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609808,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609809,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609811,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609812,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609813,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609814,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609815,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609816,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609817,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609818,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
